user_id,total_swipes,favorite_hall,most_common_meal,avg_wait_sec,persona,dietary_pref
U00000,14,West Campus Dining,dinner,388.14,residential_west,none
U00001,9,West Campus Dining,dinner,369.56,off_campus_plan,none
U00002,8,Marciano Commons,lunch,340.75,commuter,vegetarian
U00003,14,Marciano Commons,dinner,344.0,residential_central,none
U00004,13,Marciano Commons,lunch,354.69,residential_east,none
U00005,12,Marciano Commons,dinner,421.0,residential_east,gluten_free
U00006,16,Marciano Commons,lunch,276.44,residential_east,vegetarian
U00007,8,Warren Towers Dining,lunch,314.38,commuter,halal
U00008,16,Sargent Choice Café,dinner,489.81,residential_central,vegetarian
U00009,8,Sargent Choice Café,lunch,566.75,commuter,none
U00010,15,Warren Towers Dining,dinner,371.87,residential_east,none
U00011,6,Sargent Choice Café,lunch,387.0,off_campus_plan,vegetarian
U00012,6,Marciano Commons,lunch,496.33,commuter,gluten_free
U00013,16,Marciano Commons,dinner,330.31,residential_east,none
U00014,15,Warren Towers Dining,dinner,405.33,residential_east,halal
U00015,15,Stuvi2 / towers,lunch,388.4,residential_east,gluten_free
U00016,14,Marciano Commons,dinner,401.14,residential_west,vegetarian
U00017,10,Marciano Commons,lunch,431.4,residential_central,gluten_free
U00018,10,Marciano Commons,dinner,379.4,residential_west,none
U00019,14,West Campus Dining,lunch,356.14,residential_west,gluten_free
U00020,16,Sargent Choice Café,breakfast,339.25,residential_central,vegetarian
U00021,12,Stuvi2 / towers,lunch,383.75,residential_east,none
U00022,11,Marciano Commons,dinner,467.91,residential_west,halal
U00023,13,Marciano Commons,dinner,313.15,residential_west,none
U00024,14,West Campus Dining,lunch,282.86,residential_west,none
U00025,8,Warren Towers Dining,lunch,271.25,commuter,vegetarian
U00026,18,Marciano Commons,dinner,315.17,residential_east,none
U00027,15,Marciano Commons,dinner,300.13,residential_central,none
U00028,17,Marciano Commons,dinner,478.47,residential_central,halal
U00029,18,Marciano Commons,dinner,389.83,residential_east,none
U00030,12,Sargent Choice Café,dinner,391.17,residential_central,none
U00031,13,Marciano Commons,lunch,381.46,residential_east,none
U00032,15,Warren Towers Dining,dinner,471.93,residential_east,none
U00033,10,West Campus Dining,lunch,404.6,off_campus_plan,vegetarian
U00034,9,Marciano Commons,lunch,392.33,off_campus_plan,vegan
U00035,8,Warren Towers Dining,lunch,258.62,commuter,gluten_free
U00036,14,Marciano Commons,dinner,457.21,residential_west,vegetarian
U00037,14,Marciano Commons,dinner,320.29,residential_east,none
U00038,16,Marciano Commons,dinner,259.81,residential_central,gluten_free
U00039,14,Marciano Commons,lunch,276.57,residential_west,vegan
U00040,14,Marciano Commons,dinner,374.21,residential_east,vegetarian
U00041,12,West Campus Dining,dinner,376.5,residential_west,vegetarian
U00042,17,Marciano Commons,dinner,252.18,residential_east,gluten_free
U00043,11,Marciano Commons,lunch,202.45,off_campus_plan,vegetarian
U00044,11,Marciano Commons,dinner,377.45,residential_east,none
U00045,12,Marciano Commons,dinner,401.08,residential_central,vegetarian
U00046,14,Marciano Commons,dinner,321.64,residential_west,none
U00047,14,Marciano Commons,lunch,335.71,residential_central,none
U00048,13,Marciano Commons,lunch,409.69,residential_central,none
U00049,16,Marciano Commons,dinner,345.88,residential_east,none
U00050,4,West Campus Dining,lunch,361.5,off_campus_plan,none
U00051,9,Warren Towers Dining,lunch,239.56,commuter,none
U00052,7,West Campus Dining,lunch,196.57,off_campus_plan,vegetarian
U00053,6,Marciano Commons,lunch,460.5,commuter,vegan
U00054,17,Marciano Commons,dinner,294.88,residential_central,gluten_free
U00055,5,Stuvi2 / towers,dinner,449.6,off_campus_plan,none
U00056,13,Stuvi2 / towers,dinner,165.54,residential_east,vegetarian
